x,t,h
3.535353535353535914e-01,2.000000000000000042e-02,1.079896613955497742e-01
3.737373737373739235e-01,2.000000000000000042e-02,1.079440638422966003e-01
3.939393939393940336e-01,2.000000000000000042e-02,1.037291213870048523e-01
4.141414141414143657e-01,2.000000000000000042e-02,9.490906447172164917e-02
4.343434343434344758e-01,2.000000000000000042e-02,8.115886896848678589e-02
4.545454545454545858e-01,2.000000000000000042e-02,6.219147890806198120e-02
4.747474747474749179e-01,2.000000000000000042e-02,3.775023669004440308e-02
4.949494949494950280e-01,2.000000000000000042e-02,7.656565401703119278e-03
5.151515151515153601e-01,2.000000000000000042e-02,-2.810759283602237701e-02
5.353535353535354702e-01,2.000000000000000042e-02,-6.932920962572097778e-02
5.555555555555555802e-01,2.000000000000000042e-02,-1.155190542340278625e-01
5.757575757575759123e-01,2.000000000000000042e-02,-1.658991128206253052e-01
5.959595959595960224e-01,2.000000000000000042e-02,-2.194233387708663940e-01
6.161616161616163545e-01,2.000000000000000042e-02,-2.748596966266632080e-01
6.363636363636364646e-01,2.000000000000000042e-02,-3.309127390384674072e-01
6.565656565656567967e-01,2.000000000000000042e-02,-3.863223791122436523e-01
6.767676767676769067e-01,2.000000000000000042e-02,-4.398365914821624756e-01
6.969696969696970168e-01,2.000000000000000042e-02,-4.900825321674346924e-01
7.171717171717173489e-01,2.000000000000000042e-02,-5.355044007301330566e-01
7.373737373737374590e-01,2.000000000000000042e-02,-5.744825601577758789e-01
7.575757575757577911e-01,2.000000000000000042e-02,-6.055198311805725098e-01
7.777777777777779011e-01,2.000000000000000042e-02,-6.273276805877685547e-01
7.979797979797982332e-01,2.000000000000000042e-02,-6.387858986854553223e-01
8.181818181818183433e-01,2.000000000000000042e-02,-6.388694047927856445e-01
8.383838383838384534e-01,2.000000000000000042e-02,-6.266130208969116211e-01
8.585858585858587855e-01,2.000000000000000042e-02,-6.010849475860595703e-01
8.787878787878788955e-01,2.000000000000000042e-02,-5.613430142402648926e-01
8.989898989898992276e-01,2.000000000000000042e-02,-5.064188241958618164e-01
9.191919191919193377e-01,2.000000000000000042e-02,-4.354087710380554199e-01
9.393939393939394478e-01,2.000000000000000042e-02,-3.476758003234863281e-01
9.595959595959597799e-01,2.000000000000000042e-02,-2.432995289564132690e-01
9.797979797979798899e-01,2.000000000000000042e-02,-1.244928911328315735e-01
1.000000000000000000e+00,2.000000000000000042e-02,1.983633730560541153e-03
-1.000000000000000000e+00,2.999999999999999889e-02,2.077093813568353653e-03
-9.797979797979797789e-01,2.999999999999999889e-02,1.332151144742965698e-01
-9.595959595959595578e-01,2.999999999999999889e-02,2.567614614963531494e-01
-9.393939393939394478e-01,2.999999999999999889e-02,3.648687005043029785e-01
-9.191919191919192267e-01,2.999999999999999889e-02,4.537399709224700928e-01
-8.989898989898990056e-01,2.999999999999999889e-02,5.237066149711608887e-01
-8.787878787878787845e-01,2.999999999999999889e-02,5.772007703781127930e-01
-8.585858585858585634e-01,2.999999999999999889e-02,6.163590550422668457e-01
-8.383838383838383423e-01,2.999999999999999889e-02,6.420058608055114746e-01
-8.181818181818181213e-01,2.999999999999999889e-02,6.542631983757019043e-01
-7.979797979797980112e-01,2.999999999999999889e-02,6.536008715629577637e-01
-7.777777777777777901e-01,2.999999999999999889e-02,6.412276625633239746e-01
-7.575757575757575690e-01,2.999999999999999889e-02,6.187637448310852051e-01
-7.373737373737373479e-01,2.999999999999999889e-02,5.877320170402526855e-01
